,id,app_size_bytes,app_price,app_rating_count,app_rating,app_content_rating,app_genre,app_total_supported_langs
1,281656475,100788224,3.99,21292,4,4+,Games,10
2,281796108,158578688,0,161065,4,4+,Productivity,23
3,281940292,100524032,0,188583,3.5,4+,Weather,3
4,282614216,128512000,0,262241,4,12+,Shopping,9
5,282935706,92774400,0,985920,4.5,4+,Reference,45
6,283619399,10485713,0.99,8253,4,4+,Games,1
7,283646709,227795968,0,119487,4,4+,Finance,19
8,284035177,130242560,0,1126879,4,12+,Music,1
9,284666222,49250304,9.99,1117,4.5,4+,Utilities,1
10,284736660,70023168,3.99,7885,4,4+,Games,10
11,284791396,49618944,4.99,76720,4.5,4+,Games,11
12,284815117,227547136,7.99,105776,3.5,4+,Games,6
13,284815942,179979264,0,479440,3.5,17+,Utilities,33
14,284847138,160925696,0,119773,3.5,4+,Finance,2
15,284862767,55153664,4.99,6340,4.5,4+,Games,2
16,284876795,207907840,0,56194,4,4+,Travel,26
17,284882215,389879808,0,2974676,3.5,4+,Social Networking,29
18,284910350,167407616,0,223885,4,12+,Travel,18
20,284993459,147093504,0,402925,4,12+,Music,16
21,285005463,10735026,2.99,31456,4,4+,Games,1
22,285946052,70707916,1.99,2929,4.5,4+,Reference,2
23,285994151,6169600,2.99,11447,5,4+,Games,1
24,286058814,130583552,0,137951,4,4+,Sports,6
25,286070473,71203840,5.99,8,4.5,4+,Business,3
27,286799607,11423008,3.99,3241,4,4+,Music,10
28,286906691,188017664,0,5795,3.5,4+,Health & Fitness,11
29,286911400,4765696,0,42316,3,9+,Games,1
31,288113403,287933440,0,123215,3.5,4+,Productivity,23
32,288120394,4263936,4.99,782,4,4+,Music,1
33,288419283,172772352,9.99,3449,4,4+,Weather,1
34,288429040,273844224,0,71856,3.5,4+,Social Networking,23
35,289084315,40216576,1.99,13350,4.5,12+,Health & Fitness,15
36,289446241,2386944,0.99,137,3,4+,Entertainment,1
37,289523017,105431040,0,180087,3.5,12+,Games,5
39,289894882,44129280,0.99,33426,4,4+,Health & Fitness,3
40,290638154,116443136,0,293228,4,12+,Music,2
41,290807369,1646592,1.99,21609,3.5,9+,Entertainment,1
42,290986013,30016512,4.99,4684,4,4+,Utilities,9
43,291430598,29518848,2.99,2104,4.5,17+,Weather,1
47,292421271,66872320,2.99,41633,4,9+,Games,1
48,292628469,45229056,2.99,3610,4.5,4+,Photo & Video,1
49,292738169,127470592,0,4677,3,12+,Music,21
50,293118835,44241920,3.99,30,3.5,4+,Navigation,2
51,293523031,107983872,0,48905,4.5,4+,Music,12
52,293573778,8044544,4.99,32,3,4+,Navigation,7
53,293622097,37214208,0,446185,3.5,4+,Travel,30
54,293760823,60320768,1.99,21825,3,9+,Entertainment,1
55,293778748,100849664,0,508808,3,4+,Games,10
57,294056623,72748032,0,57500,3,4+,Sports,1
58,294536447,32164864,1.99,2576,4,4+,Games,1
59,294631159,69079040,1.99,1572,4,4+,Weather,13
60,294934058,82037760,2.99,3292,3,4+,Business,2
61,295430577,150195200,4.99,8932,4.5,4+,Education,12
62,295646461,199734272,0,495626,3.5,4+,Weather,33
63,295759189,13156352,0.99,812,3,4+,Lifestyle,7
64,295775656,30367744,2.99,1583,3.5,12+,Lifestyle,1
65,296581815,93420544,0,113936,4.5,4+,Food & Drink,6
66,297244048,31505408,4.99,2027,4,4+,Entertainment,33
67,297332787,25997312,3.99,768,4,4+,Education,3
68,297368629,182054912,0,373835,4,4+,Health & Fitness,1
69,297430070,138754048,0,108131,3,4+,Shopping,1
70,297606726,13564835,0.99,18943,3.5,4+,Games,1
71,297606951,133688320,0,126312,3.5,4+,Shopping,8
72,297694601,55205888,4.99,35735,4,4+,Games,0
73,298127110,46922752,4.99,410,3,4+,Utilities,1
74,298206806,63283200,12.99,1390,4.5,4+,Music,33
75,298596830,53426176,0,38,3.5,4+,Music,4
76,298867247,39505920,0,233270,4.5,4+,Finance,2
77,299029654,210088960,21.99,64,4.5,4+,Reference,2
79,299515267,36399104,0,109349,3.5,12+,Food & Drink,1
80,299853944,115143680,0,2229,3.5,17+,News,1
81,299949744,56481792,1.99,14970,3.5,4+,Navigation,1
82,300048137,181941248,0,144214,3.5,4+,Weather,43
83,300238550,162891776,0,232940,4,4+,Finance,1
84,300255638,98108416,0,48407,3,12+,News,1
85,300265786,54088704,0.99,5531,3.5,4+,Utilities,13
86,300590611,50155520,1.99,3393,4,4+,Education,1
87,300704847,23936000,0,65016,3.5,4+,Utilities,17
89,301387274,145293312,0.99,187529,4,9+,Entertainment,1
90,301521403,140367872,0,33969,3.5,4+,Health & Fitness,17
91,301724680,281244672,0,48822,3.5,4+,Finance,1
92,302049354,66695168,1.99,59155,4.5,4+,Games,1
93,302584613,169747456,0,252076,3.5,4+,Book,9
95,303058767,41691136,1.99,4913,4,9+,Games,15
96,303191318,122886144,0,1744,3.5,4+,Finance,1
97,303337299,55803904,0.99,16567,4.5,4+,Games,1
99,303849934,188956672,0,187315,2,17+,Games,9
100,304731501,22185984,2.99,4781,4.5,4+,Music,10
101,304770340,66160640,3.99,94,4.5,4+,Games,1
102,304871603,28135424,0.99,29554,4,4+,Photo & Video,3
103,304871622,27962441,0.99,32988,4,12+,Games,1
104,304878510,133238784,0,373519,3.5,4+,Social Networking,32
105,305343404,151573504,0,334293,4,17+,Social Networking,16
106,305557780,27069440,1.99,2302,3.5,4+,Photo & Video,1
107,305939712,101259264,0,60659,3,17+,Social Networking,10
108,306169895,168192000,2.99,2562,4,4+,Games,4
109,306257910,17485824,4.99,3042,3.5,4+,Finance,11
110,306375551,5234688,0.99,338,2.5,4+,Weather,1
111,306468004,237913088,2.99,16434,4.5,4+,Health & Fitness,9
112,306561234,233513984,2.99,10046,4.5,4+,Health & Fitness,9
113,306621789,110420992,0,29107,3,12+,News,10
114,306628397,47774720,1.99,878,4,17+,Games,1
115,306937053,22259712,0.99,1140,3.5,4+,Games,1
116,307132353,431771648,2.99,35074,4.5,4+,Games,6
117,307184892,120357888,0,59639,3,17+,Sports,1
118,307219387,90828800,4.99,2913,4,4+,Health & Fitness,1
119,307354030,30796800,0,39722,3,4+,Photo & Video,1
120,307386350,151397376,0,81006,3.5,4+,Entertainment,1
121,307569751,46880768,0,53465,3.5,4+,Games,1
122,307727765,48741376,0.99,395261,4.5,4+,Games,1
123,307741537,17145856,1.99,2021,4.5,4+,Utilities,12
124,307764057,25808896,0,182,3,17+,Entertainment,3
125,307906541,81924096,0,291787,4,4+,Entertainment,1
126,308111628,19451904,1.99,2441,4,17+,Utilities,12
128,308339980,118683648,0.99,1372,4,12+,Games,1
129,308368164,723764224,249.99,773,4,4+,Education,3
130,308750436,111275008,0,200047,4,4+,Reference,1
132,308834491,109616128,0,112,3.5,12+,News,17
133,309025938,120725504,0,148160,4.5,4+,Sports,1
134,309172177,68491264,0,108507,3,4+,Utilities,2
135,309187846,122153984,0,46,3,4+,Entertainment,1
136,309465525,122315776,0,51427,4,4+,Photo & Video,1
137,309527804,17010688,0.99,53821,3.5,12+,Games,1
138,309735670,3691520,0,38681,4,4+,Business,28
139,310303959,31387648,0.99,17776,4,4+,Games,11
140,310633997,135044096,0,287589,4.5,4+,Social Networking,35
141,310636441,55815168,2.99,7308,4,4+,Productivity,30
142,310738695,132632576,0,342969,4.5,4+,Lifestyle,1
144,310951782,270729216,4.99,6093,4,4+,Games,7
146,311466554,39827456,4.99,5452,4.5,9+,Games,1
148,311548709,57328640,0,43064,3,4+,Finance,2
150,311762416,40717312,0,64,4.5,4+,Music,14
151,311785642,141136896,0,220,4.5,4+,Productivity,13
152,311972587,146228224,0,114096,4.5,4+,Games,3
153,312220102,52294656,9.99,1296,4,4+,Productivity,13
154,312266675,16332800,2.99,1293,4,4+,Travel,11
155,312325565,164382720,0,19946,4,4+,Finance,1
156,312343159,45712384,0,88613,4,4+,Entertainment,1
157,313199385,16086016,0.99,107727,3.5,4+,Games,1
158,314303518,223805440,0.99,21416,4.5,4+,Games,5
159,314506629,22159360,2.99,533,4,4+,Games,9
160,314652382,20542280,2.99,32650,3.5,12+,Music,1
161,314716233,130637824,0,164963,3.5,4+,Social Networking,3
162,314819528,8900608,1.99,141,3,4+,Weather,1
163,314855255,180500480,0,80424,4,4+,Shopping,2
164,314864297,19853312,0.99,17190,4,4+,Games,1
165,315021242,42926080,0.99,7973,4,4+,Games,15
166,316025912,36692992,2.99,19621,4,4+,Games,1
168,316227296,36647936,3.99,7315,4,4+,Games,6
169,316391924,91697152,0,118,3,12+,News,1
171,317469184,51538944,0,290996,3.5,4+,Sports,2
172,317809458,8302592,3.99,2785,4,4+,Travel,26
173,317904170,430128128,6.99,54408,3.5,12+,Games,8
175,318304532,69960704,9.99,8138,4,4+,Games,13
176,318592730,767126,0,123190,3,4+,Education,1
177,318639200,12996628,0.99,23810,3.5,12+,Games,1
178,319204550,139545600,0,54192,4,4+,Sports,1
179,319284643,130394112,0,20953,4,4+,Sports,1
180,319295332,101925888,9.99,71609,4.5,12+,Music,14
181,319740707,52951040,0,32881,3.5,12+,News,1
182,319881193,80409600,0,23201,2.5,17+,Social Networking,5
183,320029256,137312256,0,17906,3,4+,Shopping,1
184,320279293,144412672,74.99,927,3.5,4+,Navigation,21
185,320300350,27746273,1.99,18920,3.5,9+,Games,1
186,320596872,119648256,0.99,30,3,4+,Finance,3
187,320599923,119574528,0,77,3,4+,Finance,3
188,320606217,79315968,0,104539,4.5,4+,Health & Fitness,13
189,320636131,12818432,0.99,4016,4,12+,Photo & Video,1
190,320650307,18165760,1.99,299,4,4+,Food & Drink,1
191,321369231,253834240,1.99,5758,4,12+,Games,1
192,321756558,69083136,0,5565,4.5,9+,Games,17
193,322423174,8573952,0.99,213092,3.5,9+,Games,1
194,322439990,127284224,0,150158,4.5,4+,Weather,8
196,322523436,81374398,4.99,6046,4,12+,Games,1
197,323229106,94139392,0,345046,4.5,4+,Navigation,36
198,323242790,13216994,0.99,35930,3.5,12+,Games,1
199,323438913,21010210,0.99,22557,4,4+,Games,1
200,324266640,35998720,0.99,292,3,17+,Sports,1
202,324684580,132510720,0,878563,4.5,12+,Music,18
203,324887734,37001216,0,22,3.5,4+,Food & Drink,30
204,325462190,64147456,0,10472,3.5,17+,Sports,1
206,325658560,100779008,0,115,4,17+,News,1
207,325683306,123718656,1.99,13915,4.5,4+,Weather,8
208,325954996,126312448,1.99,6780,4,9+,Games,5
209,325962257,79882240,7.99,1701,4,4+,Productivity,21
210,326082487,6418432,1.99,6,3.5,4+,Health & Fitness,8
212,326161564,74093568,0,19,3,4+,Utilities,1
213,326574411,12937216,4.99,3483,4.5,4+,Medical,14
214,326876192,53388288,0,2838,3,4+,Photo & Video,12
215,326885152,118498304,0,117889,3,4+,Entertainment,1
217,326979430,103197675,0.99,50710,3.5,9+,Games,1
219,327193945,24574976,2.99,3960,4.5,4+,Weather,1
220,327243363,96093184,0,24258,3,4+,Entertainment,1
221,327455869,77700096,0,37522,4,4+,Sports,1
222,327630330,180804608,0,49578,3.5,4+,Productivity,20
223,328011357,56397824,0.99,626,4,4+,Entertainment,2
224,328205875,229272576,1.99,9286,4,4+,Games,1
225,328415391,131000320,0,190670,3.5,17+,Sports,45
226,329127297,53097472,19.99,2429,4.5,4+,Navigation,16
227,329174056,3375104,3.99,0,0,4+,Finance,3
228,329541503,108166144,0,12811,3.5,4+,Navigation,22
229,329670577,89187328,1.99,32338,4,4+,Photo & Video,10
230,329703516,13647872,4.99,262,4,12+,Games,1
231,329887910,123544576,0.99,9657,4.5,4+,Games,12
232,329981776,1608704,2.99,18332,4.5,4+,Games,2
234,330376830,50169856,0,53620,4,12+,Health & Fitness,15
235,330803072,101181440,0.99,38533,2.5,4+,Photo & Video,11
236,331004675,15329280,0.99,40,3.5,4+,Food & Drink,7
237,331177703,31845376,1.99,472,4,4+,Games,1
238,331177714,135032832,0,303856,4.5,4+,Food & Drink,2
239,331259725,54648832,0,2070,2.5,4+,Sports,1
240,331271904,8432232,2.99,7941,4,4+,Games,1
241,331308914,230720512,0,136833,3.5,12+,Health & Fitness,6
242,331786748,80211968,0,112886,3.5,12+,News,1
243,331804452,148201472,0,26353,3.5,4+,Shopping,2
245,332568551,20795392,0,171055,3,12+,Entertainment,1
246,333180061,27934720,2.99,4540,4,9+,Games,15
247,333206289,208309248,0,1926,3,4+,Lifestyle,3
248,333246187,33812480,3.99,14345,4,12+,News,1
249,333263435,20298752,4.99,1340,4.5,4+,Lifestyle,1
250,333710667,101346304,3.99,31912,4.5,4+,Business,9
251,333903271,210569216,0,354058,3.5,17+,News,33
252,334235181,110198784,0,248,4,4+,Travel,1
253,334256223,78047232,0,11691,3.5,12+,News,1
254,334264405,9946112,1.99,381,3,12+,Entertainment,1
255,334503000,44652544,0,18884,4,9+,Entertainment,1
257,334989259,30369792,2.99,7410,4,9+,Reference,1
258,335029050,376171520,1.99,15175,4,4+,Games,6
259,335047649,96815104,0.99,3166,4,4+,Business,5
261,335364882,169138176,0,88885,4.5,12+,Shopping,1
262,335545504,364490752,9.99,882,5,12+,Games,1
263,335709058,44135424,3.99,1729,4,17+,Lifestyle,3
264,335744614,112074752,0,43682,3.5,4+,Sports,1
265,335862325,98942976,0.99,861,2,4+,Entertainment,1
266,335875911,77686784,0,7469,3.5,12+,Health & Fitness,2
267,335989871,94496768,0,4186,3.5,4+,Shopping,1
268,336141475,204959744,0,4885,3.5,12+,Entertainment,2
269,336347946,32796672,4.99,3970,4,17+,Games,5
270,336353151,105009152,0,135744,4,4+,Music,7
271,336435697,22562816,0,18841,4,4+,Social Networking,29
272,336477530,52632576,3.99,1438,4,4+,Navigation,10
274,336599882,151388160,0,10298,4.5,4+,Health & Fitness,15
275,336683524,47323136,0.99,1842,3.5,4+,Productivity,1
276,336689375,59846656,1.99,2548,4,4+,Education,1
277,336834650,27807744,0.99,319,3,12+,Games,5
278,336860594,60976128,0,34507,3.5,12+,Shopping,1
279,337021781,194386944,0.99,26482,3.5,4+,Games,6
281,337056601,49470464,0,273,3,12+,News,1
282,337288863,147118080,2.99,8331,4,12+,Music,15
283,337402021,125411328,0.99,17023,4,4+,Games,1
284,337462979,63316992,4.99,1101,4,4+,Games,1
